case_submitter_id,JAK2,ABL1,CXCR4,FLT3,KRAS,MYC,ETV6,TP53,NOTCH1,RUNX1,IL7R,CD19,IKZF1,BCR,PAX5,MME,CD3E,CRLF2,NRAS,CEBPA
TARGET-10-PAMXHJ,19.1144,30.8853,779.4133,252.1679,48.1833,44.3249,46.6375,61.8754,28.5419,74.5168,27.6132,564.6731,60.8664,46.4245,184.2164,193.1495,5.0565,47.626,70.7399,0.2506
TARGET-10-PAMXSP,34.3259,29.6208,1088.1253,320.2278,56.5292,6.8002,82.5126,16.5839,15.674,150.3382,44.8954,271.2235,68.7591,48.9981,197.473,170.9893,10.1271,6.1833,76.9964,0.0544
TARGET-10-PANATY,10.0603,77.7148,2110.8241,314.7055,110.9366,9.7156,217.1322,25.6347,60.3323,69.4801,97.25,232.2196,254.798,229.8286,117.2821,790.4636,30.8146,2.1326,97.8788,11.6353
TARGET-10-PANDBX,11.1775,75.2777,5251.4109,301.6485,111.2497,9.0899,248.8021,38.1498,75.1594,96.8707,159.0388,274.4065,82.2631,139.1745,211.9352,297.7214,4.3672,6.2005,110.1844,2.7838
TARGET-10-PANEUH,12.7066,33.3584,7095.736,58.7558,23.9856,53.9647,84.5145,18.3155,14.472,58.158,23.802,33.1329,27.4399,48.3526,37.1636,79.2195,2.6617,65.9321,117.0603,0.1792
TARGET-10-PANJPG,21.0667,21.6442,507.4025,624.9907,31.1858,49.7165,157.956,29.8964,45.9407,87.1196,8.7624,314.6311,52.6701,45.9147,101.5964,22.0565,45.2233,0.5029,55.6178,33.7607
TARGET-10-PANJWJ,13.7937,55.485,186.525,41.3852,19.0594,33.1245,90.9936,15.6182,29.8661,23.3585,2.244,88.4455,27.1343,29.3901,26.7078,83.0035,12.8449,2.4098,38.8742,1.8725
TARGET-10-PANKAK,11.9402,60.2984,1411.4296,21.7597,47.1678,31.4769,68.8921,63.1663,49.8119,77.5724,49.4709,259.7546,60.1207,165.5905,393.9287,263.5254,14.5864,2.3284,117.5668,1.287
TARGET-10-PANKGK,9.0991,44.2352,1665.8558,364.2427,62.6105,35.2932,136.7969,10.086,88.2915,93.4927,6.4016,56.9073,24.3178,81.7491,31.5832,4.4171,15.2635,2.8165,83.2956,14.7807
TARGET-10-PANKMB,12.7834,48.6574,376.662,125.818,28.267,14.0136,48.5534,42.0706,64.3071,97.7062,121.9042,508.0189,88.6162,55.0861,116.4841,557.8416,17.3108,66.6158,70.7969,0.8542
TARGET-10-PANLIC,18.1713,49.2376,1082.0757,764.9483,18.7866,69.3233,212.2711,61.49,103.7145,94.8583,10.4183,722.7789,81.9186,114.0492,138.6803,209.9468,6.7521,315.257,67.8554,26.1456
TARGET-10-PANPJI,12.5128,30.6703,3546.8508,391.0632,82.212,20.9938,92.8778,18.5496,35.7255,74.5732,19.3177,149.9436,146.9639,45.192,45.1872,2.1126,7.776,0.961,106.1526,14.5067
TARGET-10-PANRWG,23.2111,39.8752,1548.9572,329.455,52.2719,11.5179,130.6566,21.1299,46.5173,151.1538,9.2628,282.3675,66.0428,86.99,109.5776,4.5775,40.4905,8.7593,104.1556,32.3038
TARGET-10-PANRYM,18.8402,30.3062,1957.2843,354.493,22.2608,33.4366,38.8095,48.1768,18.5032,79.9906,17.4754,210.9329,63.9223,51.4814,153.1115,218.6747,16.9891,9.034,60.6359,0.3609
TARGET-10-PANSBR,18.3185,15.0809,1129.2065,33.627,47.1444,7.614,192.9253,10.878,51.5141,49.2155,23.1809,298.4456,28.8079,118.0877,155.6055,441.1225,11.082,7.1913,98.2076,1.5614
TARGET-10-PANSDA,25.8613,31.9106,639.4688,75.6061,96.2613,14.3477,88.6408,9.9817,52.8461,57.4408,17.1818,179.472,40.3239,123.9602,151.1616,537.9976,26.2927,725.5881,113.8632,4.1164
TARGET-10-PANSHK,21.3655,49.2241,1064.1705,85.4671,48.2233,7.0681,32.843,25.5402,88.7253,53.8714,62.4536,306.6951,105.6817,98.2084,183.5408,662.7048,20.1176,5.227,106.6137,0.2508
TARGET-10-PANSIA,7.8432,20.3834,723.1606,87.1809,28.8424,56.2863,48.8774,18.7599,12.4236,41.368,7.762,198.7184,25.4204,36.3192,67.3587,55.123,9.4833,34.6529,47.1289,0.2757
TARGET-10-PANSPW,11.5221,137.2404,763.7888,6.8212,81.7998,14.5659,64.7329,19.468,30.5107,50.1123,34.7583,455.8899,101.2531,90.7535,160.4392,355.8427,49.3968,2.4239,139.25,1.0847
TARGET-10-PANSUL,8.5804,41.2033,2503.7307,77.1462,42.879,12.2588,27.845,12.0161,27.0119,56.5153,40.642,181.9298,55.5269,52.3865,107.6558,218.3795,34.2089,0.2825,122.1701,0.5923
TARGET-10-PANSXG,7.5267,32.0005,344.0781,130.8845,49.007,24.5435,33.382,10.5728,15.3711,105.0005,9.9415,132.9018,44.04,29.4807,170.7218,72.5505,24.228,2.4441,151.7132,0.5444
TARGET-10-PANTSM,2.442,47.0351,3163.3702,41.1045,24.7296,11.2973,135.0808,13.6039,50.252,39.8005,3.3872,317.952,51.1895,107.8675,132.7714,6.4435,17.4123,0.3024,92.9682,5.1073
TARGET-10-PANTTZ,9.6872,47.8626,2675.1172,139.8855,86.0996,27.9494,102.5224,69.0499,57.2298,58.9497,66.7803,388.7426,329.9048,217.5664,187.4688,452.0011,7.5396,2.812,99.7132,21.2345
TARGET-10-PANUHA,21.146,27.9699,1214.4045,150.4576,73.9315,4.068,72.2765,20.5686,73.8847,108.8644,46.224,284.3405,125.6331,88.4148,215.9054,680.505,13.8153,1.1313,97.9022,0.0898
TARGET-10-PANUUF,6.3377,16.5878,1305.2791,256.5555,60.5734,17.5205,187.517,11.4498,88.3316,77.5363,31.0855,58.2199,28.1483,67.1607,45.6149,9.5794,25.4445,15.1129,74.6292,11.0419
TARGET-10-PANWEZ,8.747,61.706,3649.2489,72.1118,95.7327,2.6857,62.8633,17.9334,79.3088,39.2725,83.9108,291.666,70.0439,219.3044,237.0772,270.7644,0.6205,0.7681,131.2626,0
TARGET-10-PANWFB,3.7335,49.1281,522.6277,39.2697,41.7802,18.9902,130.2645,8.4325,16.1071,46.6641,2.0983,201.8855,7.1628,14.4881,41.9695,1.7791,7.2688,0.2174,105.5392,3.5692
TARGET-10-PANWHJ,6.4209,47.5982,2488.3581,97.3847,19.4026,12.9937,32.2859,12.099,39.6944,102.2195,13.7048,147.4449,46.491,63.4428,111.6775,9.182,32.9779,3.2144,91.078,0.2215
TARGET-10-PANWHW,6.8,36.7686,1742.3462,112.0118,24.5227,11.405,91.2404,20.7079,68.6211,10.898,1.4267,128.8418,29.0307,220.9032,38.4261,31.8996,0.8426,69.6772,23.3503,3.5893
TARGET-10-PANWVW,10.7973,160.5779,2908.4512,331.0538,37.878,64.4906,87.1674,34.0945,43.1698,83.1142,31.8008,344.1414,98.3837,58.0716,85.1801,88.6749,3.1908,1.2165,68.9617,0.0959
TARGET-10-PANWYH,14.1574,31.06,883.0356,84.3906,30.1766,27.5239,94.8691,62.6266,52.0021,50.8812,67.7296,171.6875,47.8876,54.6264,98.4412,611.0805,20.9305,201.087,71.5647,1.4955
TARGET-10-PANXDR,14.636,23.1918,891.6161,51.1507,65.9008,37.9541,175.6781,14.9276,16.3695,42.8782,14.024,99.8236,37.3978,49.0736,88.0407,398.9301,16.8322,42.4864,112.6999,0.0669
TARGET-10-PANYEJ,5.0576,12.6685,393.9217,38.1757,22.6651,7.7664,18.3046,5.7785,4.5974,40.6358,6.2206,38.222,17.0984,22.7284,37.9928,24.9352,2.6826,10.1168,53.647,0.0735
TARGET-10-PANYGB,2.5332,22.4887,1203.6954,54.5219,51.2593,37.2014,41.8049,15.3796,11.3804,45.1999,19.342,105.5682,19.2602,28.2573,70.6693,10.7017,1.2469,0.5028,53.4569,0
TARGET-10-PANYZE,8.7199,104.1154,2030.1047,326.6132,123.4715,34.7064,80.3701,28.0968,20.485,144.1657,197.0764,173.5017,141.4735,65.785,337.2717,213.4896,4.956,6.2347,109.0769,0.0553
TARGET-10-PANZPJ,26.987,37.9906,927.5284,32.3439,56.3092,2.6638,127.5849,10.9662,30.4154,61.6096,38.4933,372.768,56.7732,88.3329,253.0661,485.9403,52.6324,4.7583,201.6382,0.8383
